"ImmuneProcesses","interaction","JanewayReferences","name","selected","shared interaction","shared name","SourceReceptors","TargetReceptors"
"Complement, Inflammation","Recruit","51: C3a and C5a recruit phagocytic cells to the site of infection and promote inflammation; 87: Besides stimulating the respiratory burst in phagocytes and acting as a chemoattractant for neutrophils and monocytes, C5a also promotes inflammation by increasing vascular permeability and inducing the expression of certain adhesion molecules on endothelium.; 113: Complement fragments such as C3a and C5a, and fMLF bacterial peptides, also act as chemoattractants for neutrophils.","C5a (Recruit) Neutrophil","false","Recruit","C5a (Recruit) Neutrophil","",""
"Antibacterial","Recruit","515: Epithelial cells have a crucial role in innate defense against pathogens. TLRs are present in intracellular vesicles or on the basolateral or apical surfaces of epithelial cells, where they recognize different components of invading bacteria. Cytoplasmic NOD1 and NOD2 detect cell-wall peptides from bacteria. TLRs and NODs activate NF<U+03BA>B (see Fig. 3.15), inducing epithelial cells to produce CXCL8, CXCL1 (GROa), CCL1, and CCL2, which attract neutrophils and macrophages, CCL20, which attracts dendritic cells, and IL-1 and IL-6 that activate macrophages.","CCL1 (Recruit) Macrophage","false","Recruit","CCL1 (Recruit) Macrophage","",""
"","Recruit","814: Table Appendix IV","CCL1 (Recruit) Monocyte","false","Recruit","CCL1 (Recruit) Monocyte","","CCR"
"Antibacterial","Recruit","814: Table Appendix IV; 515: Epithelial cells have a crucial role in innate defense against pathogens. TLRs are present in intracellular vesicles or on the basolateral or apical surfaces of epithelial cells, where they recognize different components of invading bacteria. Cytoplasmic NOD1 and NOD2 detect cell-wall peptides from bacteria. TLRs and NODs activate NF<U+03BA>B (see Fig. 3.15), inducing epithelial cells to produce CXCL8, CXCL1 (GROa), CCL1, and CCL2, which attract neutrophils and macrophages, CCL20, which attracts dendritic cells, and IL-1 and IL-6 that activate macrophages.","CCL1 (Recruit) Neutrophil","false","Recruit","CCL1 (Recruit) Neutrophil","","CCR"
"","Recruit","814: Table Appendix IV","CCL1 (Recruit) Th2","false","Recruit","CCL1 (Recruit) Th2","","CCR"
"Class switching","Activate","384: The principal membrane-bound effector molecule expressed by TH2 cells is CD40 ligand, which binds to CD40 on B cells and induces B-cell proliferation and isotype switching (see Chapter 10).","Th2 (Activate) B","false","Activate","Th2 (Activate) B","CD40L","CD40"
"Antibody production, Allergic Inflammation, Class switching","Polarize","604: The second signal for IgE production is a co-stimulatory interaction between CD40 ligand on the T-cell surface and CD40 on the B-cell surface. This interaction is essential for all antibody class switching.; 603: Figure 14.2","Th2 (Polarize) B","false","Polarize","Th2 (Polarize) B","CD40L","CD40"
"","Secrete","384: Table Figure 9.39","Th2 (Secrete) CCL11","false","Secrete","Th2 (Secrete) CCL11","",""
"","Secrete","384: Table Figure 9.39","Th2 (Secrete) CCL17","false","Secrete","Th2 (Secrete) CCL17","",""
"","Secrete","384: IL-3 and GM-CSF (see Fig. 9.39) are released by TH1, TH2, and TH17 cells and act on bone marrow cells to stimulate the production of macrophages and granulocytes, which are important innate effector cells in both antibody- and T-cell-mediated immunity.; 384: Table Figure 9.39; 385: Table Figure 9.4; 617: But when TH2 cells are activated, cytokines they produce such as IL-5 and GM-CSF increase the production of eosinophils in the bone marrow and their release into the circulation.","Th2 (Secrete) GMCSF","false","Secrete","Th2 (Secrete) GMCSF","",""
"Chronic antigen stimulation","Secrete","378: Although not shown, all T-cell subsets can produce IL-10 under conditions of chronic antigen stimulation, which inhibits the production of IL-12, IL-4, and IL-23 by dendritic cells and macrophages, thereby suppressing the development and/or maintenance of TH1, TH2, and TH17 cells.  And figure 9.34; 384: Table Figure 9.39; 385: Table Figure 9.4","Th2 (Secrete) IL10","false","Secrete","Th2 (Secrete) IL10","",""
"Antiparasitic, Antibody production, Barrier immunity, Barrier integrity, Type 2, Allergic Inflammation","Secrete","373: TH2 cells (second panels) produce cytokines that recruit and activate eosinophils (IL-5) and mast cells and basophils (IL-4), and promote enhanced barrier immunity at mucosal surfaces (IL-13) to eradicate helminths.; 373: TH1 cells are characterized by the production of IFN-<U+03B3>, whereas TH2 cells are characterized by the production of IL-4, IL-5, and IL-13.; 376: GATA3 is a powerful activator of the genes encoding several cytokines produced by TH2 cells, such as IL-4 and IL-13.; 384: TH2 cells are specialized for promoting immune responses to parasites and also promote allergic responses. They provide help in B-cell activation and secrete the B-cell growth factors IL-4, IL-5, IL-9, and IL-13.; 385: Table Figure 9.4; 519: Mucus is crucially important in protecting the epithelial barrier, and its production by goblet cells is enhanced by CD4 T-cell-derived cytokines such as IL-13 and IL-22, as well as by products of mast cells and other innate effector cells recruited by T cells.; 518-519: A similar process can occur during other forms of protective immune responses, with cytokines from CD4 effector T cells directly stimulating epithelial cell division. This forces the replacement of infected cells and generates a moving target for organisms that are attempting to attach to the surface of the epithelium. An example of a cytokine of this kind is IL-13, produced by TH2 cells (and ILC2s) during parasitic infections.; 464: IL-4 and IL-13 produced by TH2 cells also result in the differentiation of alternatively activated macrophages (also called M2 macrophages).; 467: Similarly, stimulation of TH2 and ILC2 cells by TSLP (STAT5) plus IL-33 produces IL-5 and IL-13, and both TH17 and ILC3 cells stimulated by IL-23 (STAT3) plus IL-1 produce IL-17 and IL-22.; 468: Figure 11.19; 463: TH2 cells produce IL-13, which induces epithelial cell repair and mucus; 463: IL-13 produced by TH2 cells increases smooth muscle contractility that enhances worm expulsion; 463: TH2 cells recruit and activate M2 macrophages via IL-4 and IL-13; 604: The cytokines and chemokines produced by TH2 cells both amplify the TH2 response and stimulate the class switching of activated B cells to IgE production. As we saw in Chapter 10, IL-4 or IL-13 provides the first signal that switches B cells to IgE production.; 604: Immune defenses against multicellular parasites are found mainly at the sites of parasite entry, namely, under the skin and in the mucosal tissues of the airways and the gut. Cells of the innate and adaptive immune systems at these sites are specialized to secrete cytokines that promote a type 2 response to parasitic infection. In the presence of an invading parasite, dendritic cells taking up antigens in these tissues migrate to regional lymph nodes, where they tend to drive antigen-specific naive CD4 T cells to become effector TH2 cells. TH2 cells themselves secrete IL-4, IL-5, IL-9, and IL-13, thus maintaining an environment in which further differentiation of TH2 cells is favored. The cytokine IL-33, which can be produced by activated mast cells and by damaged or injured epithelial cells, also contributes to amplification of the TH2 response. IL-33 can act directly on TH2 cells via the IL-33 receptors that these cells express.; 612: Allergen-specific TH2 cells producing IL-4 and IL-13 drive allergen-specific B cells to produce IgE.; 812: Induces TH2 cytokines (IL-4, IL-5, IL-13)","Th2 (Secrete) IL13","false","Secrete","Th2 (Secrete) IL13","",""
"Antibody production","Secrete","812: Table Appendix III","Th2 (Secrete) IL21","false","Secrete","Th2 (Secrete) IL21","",""
"Type 2","Secrete","812: Table Appendix III","Th2 (Secrete) IL25","false","Secrete","Th2 (Secrete) IL25","",""
"Antiparasitic, Type 2","Secrete","384: IL-3 and GM-CSF (see Fig. 9.39) are released by TH1, TH2, and TH17 cells and act on bone marrow cells to stimulate the production of macrophages and granulocytes, which are important innate effector cells in both antibody- and T-cell-mediated immunity.; 384: Table Figure 9.39; 385: Table Figure 9.4; 464: IL-3 and IL-9 produced by TH2 cells in the mucosae recruit, expand, and activate a specialized population of mast cells known as mucosal mast cells (see Fig. 11.15).; 463: TH2 cells drive mast cell recruitment via IL-3, IL-9. Specific IgE arms mast cells against helminths","Th2 (Secrete) IL3","false","Secrete","Th2 (Secrete) IL3","",""
"Inflammation","Secrete","812: Table Appendix III","Th2 (Secrete) IL31","false","Secrete","Th2 (Secrete) IL31","",""
"Antiparasitic, Antibody production, Type 2, Allergic Inflammation","Secrete","373: TH2 cells (second panels) produce cytokines that recruit and activate eosinophils (IL-5) and mast cells and basophils (IL-4), and promote enhanced barrier immunity at mucosal surfaces (IL-13) to eradicate helminths.; 373: TH1 cells are characterized by the production of IFN-<U+03B3>, whereas TH2 cells are characterized by the production of IL-4, IL-5, and IL-13.; 376: GATA3 is a powerful activator of the genes encoding several cytokines produced by TH2 cells, such as IL-4 and IL-13.; 376: Similar to the positive feedback for TH1 cell development provided by IFN-<U+03B3> produced by activated TH1 cells, IL-4 produced by activated TH2 cells may amplify TH2 development from naive T-cell precursors.; 377: For example, both IFN-<U+03B3> (produced by TH1 cells) and IL-4 (produced by TH2 cells) potently inhibit TH17 development, promoting TH1 or TH2 development, respectively (Fig. 9.34).; 377: IL-4 produced by TH2 cells potently inhibits TH1 development.; 378: on the other hand, IL-4 produced by TH2 cells dominantly prevents TH1 cell development in favor of TH2 (left panels).; 378: Activated TH2 cells secrete IL-4; 384: TH2 cells are specialized for promoting immune responses to parasites and also promote allergic responses. They provide help in B-cell activation and secrete the B-cell growth factors IL-4, IL-5, IL-9, and IL-13.; 385: Table Figure 9.4; 401: For example, TFH cells transcribe the IL-4 gene using regulatory elements that are independent of the transcription factors GATA-3 and STAT6, which are responsible for IL-4 production by TH2 cells; 457: Figure 11.9; 464: IL-4 and IL-13 produced by TH2 cells also result in the differentiation of alternatively activated macrophages (also called M2 macrophages).; 463: TH2 cells recruit and activate M2 macrophages via IL-4 and IL-13; 604: The cytokines and chemokines produced by TH2 cells both amplify the TH2 response and stimulate the class switching of activated B cells to IgE production. As we saw in Chapter 10, IL-4 or IL-13 provides the first signal that switches B cells to IgE production.; 604: Immune defenses against multicellular parasites are found mainly at the sites of parasite entry, namely, under the skin and in the mucosal tissues of the airways and the gut. Cells of the innate and adaptive immune systems at these sites are specialized to secrete cytokines that promote a type 2 response to parasitic infection. In the presence of an invading parasite, dendritic cells taking up antigens in these tissues migrate to regional lymph nodes, where they tend to drive antigen-specific naive CD4 T cells to become effector TH2 cells. TH2 cells themselves secrete IL-4, IL-5, IL-9, and IL-13, thus maintaining an environment in which further differentiation of TH2 cells is favored. The cytokine IL-33, which can be produced by activated mast cells and by damaged or injured epithelial cells, also contributes to amplification of the TH2 response. IL-33 can act directly on TH2 cells via the IL-33 receptors that these cells express.; 612: Allergen-specific TH2 cells producing IL-4 and IL-13 drive allergen-specific B cells to produce IgE.; 812: Induces TH2 cytokines (IL-4, IL-5, IL-13)","Th2 (Secrete) IL4","false","Secrete","Th2 (Secrete) IL4","",""
"Antiparasitic, Antibody production, Type 2","Secrete","373: TH2 cells (second panels) produce cytokines that recruit and activate eosinophils (IL-5) and mast cells and basophils (IL-4), and promote enhanced barrier immunity at mucosal surfaces (IL-13) to eradicate helminths.; 373: TH1 cells are characterized by the production of IFN-<U+03B3>, whereas TH2 cells are characterized by the production of IL-4, IL-5, and IL-13.; 384: TH2 cells are specialized for promoting immune responses to parasites and also promote allergic responses. They provide help in B-cell activation and secrete the B-cell growth factors IL-4, IL-5, IL-9, and IL-13.; 385: Table Figure 9.4; 386: TH2 cells produce IL-5, which stimulates bone marrow production of eosinophils.; 464: The IL-5 produced by TH2 cells and ILC2 cells recruits and activates eosinophils (see Fig. 11.15), which have direct toxic effects on worms by releasing cytotoxic molecules stored in their secretory granules, such as major basic protein (MBP).; 467: Similarly, stimulation of TH2 and ILC2 cells by TSLP (STAT5) plus IL-33 produces IL-5 and IL-13, and both TH17 and ILC3 cells stimulated by IL-23 (STAT3) plus IL-1 produce IL-17 and IL-22.; 468: Figure 11.19; 463: IL-5 produced by TH2 cells recruits and activates eosinophils; 604: Immune defenses against multicellular parasites are found mainly at the sites of parasite entry, namely, under the skin and in the mucosal tissues of the airways and the gut. Cells of the innate and adaptive immune systems at these sites are specialized to secrete cytokines that promote a type 2 response to parasitic infection. In the presence of an invading parasite, dendritic cells taking up antigens in these tissues migrate to regional lymph nodes, where they tend to drive antigen-specific naive CD4 T cells to become effector TH2 cells. TH2 cells themselves secrete IL-4, IL-5, IL-9, and IL-13, thus maintaining an environment in which further differentiation of TH2 cells is favored. The cytokine IL-33, which can be produced by activated mast cells and by damaged or injured epithelial cells, also contributes to amplification of the TH2 response. IL-33 can act directly on TH2 cells via the IL-33 receptors that these cells express.; 617: But when TH2 cells are activated, cytokines they produce such as IL-5 and GM-CSF increase the production of eosinophils in the bone marrow and their release into the circulation.; 812: Induces TH2 cytokines (IL-4, IL-5, IL-13)","Th2 (Secrete) IL5","false","Secrete","Th2 (Secrete) IL5","",""
"Antibody production, Antiparasitic, Type 2","Secrete","384: TH2 cells are specialized for promoting immune responses to parasites and also promote allergic responses. They provide help in B-cell activation and secrete the B-cell growth factors IL-4, IL-5, IL-9, and IL-13.; 464: IL-3 and IL-9 produced by TH2 cells in the mucosae recruit, expand, and activate a specialized population of mast cells known as mucosal mast cells (see Fig. 11.15).; 463: TH2 cells drive mast cell recruitment via IL-3, IL-9.; 604: Immune defenses against multicellular parasites are found mainly at the sites of parasite entry, namely, under the skin and in the mucosal tissues of the airways and the gut. Cells of the innate and adaptive immune systems at these sites are specialized to secrete cytokines that promote a type 2 response to parasitic infection. In the presence of an invading parasite, dendritic cells taking up antigens in these tissues migrate to regional lymph nodes, where they tend to drive antigen-specific naive CD4 T cells to become effector TH2 cells. TH2 cells themselves secrete IL-4, IL-5, IL-9, and IL-13, thus maintaining an environment in which further differentiation of TH2 cells is favored. The cytokine IL-33, which can be produced by activated mast cells and by damaged or injured epithelial cells, also contributes to amplification of the TH2 response. IL-33 can act directly on TH2 cells via the IL-33 receptors that these cells express.","Th2 (Secrete) IL9","false","Secrete","Th2 (Secrete) IL9","",""
"Antiparasitic","Polarize","473: TH2 responses are directed against infections by parasites such as helminths, and promote the development and activation of alternative, M2 macrophages and the recruitment of eosinophils and basophils to sites of infection.","Th2 (Polarize) Macrophage","false","Polarize","Th2 (Polarize) Macrophage","",""
"","Secrete","384: Table Figure 9.39","Th2 (Secrete) TGFb","false","Secrete","Th2 (Secrete) TGFb","",""
"","Secrete","385: Table Figure 9.4","Th2 (Secrete) TNFa","false","Secrete","Th2 (Secrete) TNFa","",""
"Inflammation","Activate","617: The key molecules in this case are the CC chemokines that have been named eotaxins because of their specificity for eosinophils: CCL11 (eotaxin 1), CCL24 (eotaxin 2), and CCL26 (eotaxin 3)... For example, eotaxins attract basophils and cause their degranulation. TH2 cells also carry the receptor CCR3 and migrate toward eotaxins.","CCL11 (Activate) Basophil","false","Activate","CCL11 (Activate) Basophil","","CCR"
"Type 2","Recruit","623: At the same time, bronchial epithelial cells can produce at least two of the chemokine ligands—CCL5 and CCL11—that bind to the receptor CCR3 expressed on TH2 cells, macrophages, eosinophils, and basophils. Thus, these chemokines, together with the products of activated ILC2s, enhance the type 2 response by attracting more TH2 cells and eosinophils to the damaged lungs.; 617: The key molecules in this case are the CC chemokines that have been named eotaxins because of their specificity for eosinophils: CCL11 (eotaxin 1), CCL24 (eotaxin 2), and CCL26 (eotaxin 3)... For example, eotaxins attract basophils and cause their degranulation. TH2 cells also carry the receptor CCR3 and migrate toward eotaxins.; 814: Table Appendix IV","CCL11 (Recruit) Basophil","false","Recruit","CCL11 (Recruit) Basophil","","CCR"
"Type 2","Recruit","623: At the same time, bronchial epithelial cells can produce at least two of the chemokine ligands—CCL5 and CCL11—that bind to the receptor CCR3 expressed on TH2 cells, macrophages, eosinophils, and basophils. Thus, these chemokines, together with the products of activated ILC2s, enhance the type 2 response by attracting more TH2 cells and eosinophils to the damaged lungs.; 617: However, transgenic animals overexpressing IL-5 have increased numbers of eosinophils (eosinophilia) in the circulation but not in their tissues, indicating that the migration of eosinophils from the circulation into tissues is regulated separately, by a second set of controls. The key molecules in this case are the CC chemokines that have been named eotaxins because of their specificity for eosinophils: CCL11 (eotaxin 1), CCL24 (eotaxin 2), and CCL26 (eotaxin 3).; 814: Table Appendix IV","CCL11 (Recruit) Eosinophil","false","Recruit","CCL11 (Recruit) Eosinophil","","CCR"
"Type 2","Recruit","623: At the same time, bronchial epithelial cells can produce at least two of the chemokine ligands—CCL5 and CCL11—that bind to the receptor CCR3 expressed on TH2 cells, macrophages, eosinophils, and basophils. Thus, these chemokines, together with the products of activated ILC2s, enhance the type 2 response by attracting more TH2 cells and eosinophils to the damaged lungs.","CCL11 (Recruit) Macrophage","false","Recruit","CCL11 (Recruit) Macrophage","","CCR"
"","Recruit","814: Table Appendix IV","CCL11 (Recruit) Mast","false","Recruit","CCL11 (Recruit) Mast","","CCR"
"Type 2","Recruit","623: At the same time, bronchial epithelial cells can produce at least two of the chemokine ligands—CCL5 and CCL11—that bind to the receptor CCR3 expressed on TH2 cells, macrophages, eosinophils, and basophils. Thus, these chemokines, together with the products of activated ILC2s, enhance the type 2 response by attracting more TH2 cells and eosinophils to the damaged lungs.; 617: The key molecules in this case are the CC chemokines that have been named eotaxins because of their specificity for eosinophils: CCL11 (eotaxin 1), CCL24 (eotaxin 2), and CCL26 (eotaxin 3)... For example, eotaxins attract basophils and cause their degranulation. TH2 cells also carry the receptor CCR3 and migrate toward eotaxins.; 814: Table Appendix IV","CCL11 (Recruit) Th2","false","Recruit","CCL11 (Recruit) Th2","","CCR"
"","Recruit","814: Table Appendix IV","CCL12 (Recruit) B","false","Recruit","CCL12 (Recruit) B","","CCR"
"","Recruit","814: Table Appendix IV","CCL12 (Recruit) Eosinophil","false","Recruit","CCL12 (Recruit) Eosinophil","","CCR"
"","Recruit","814: Table Appendix IV","CCL12 (Recruit) Monocyte","false","Recruit","CCL12 (Recruit) Monocyte","","CCR"
"","Recruit","814: Table Appendix IV","CCL13 (Recruit) Basophil","false","Recruit","CCL13 (Recruit) Basophil","","CCR"
"","Recruit","814: Table Appendix IV","CCL13 (Recruit) DC","false","Recruit","CCL13 (Recruit) DC","","CCR"
"","Activate","617: The eotaxin receptor on eosinophils, CCR3, is quite promiscuous and binds other CC chemokines, including CCL5, CCL7, and CCL13, which also induce eosinophil chemotaxis and activation.","CCL13 (Activate) Eosinophil","false","Activate","CCL13 (Activate) Eosinophil","","CCR"
"","Recruit","814: Table Appendix IV; 617: The eotaxin receptor on eosinophils, CCR3, is quite promiscuous and binds other CC chemokines, including CCL5, CCL7, and CCL13, which also induce eosinophil chemotaxis and activation.","CCL13 (Recruit) Eosinophil","false","Recruit","CCL13 (Recruit) Eosinophil","","CCR"
"","Recruit","814: Table Appendix IV","CCL13 (Recruit) Monocyte","false","Recruit","CCL13 (Recruit) Monocyte","","CCR"
"","Recruit","814: Table Appendix IV","CCL13 (Recruit) Th2","false","Recruit","CCL13 (Recruit) Th2","","CCR"
"","Recruit","814: Table Appendix IV","CCL14 (Recruit) Monocyte","false","Recruit","CCL14 (Recruit) Monocyte","","CCR"
"","Recruit","815: Table Appendix IV","CCL15 (Recruit) DC","false","Recruit","CCL15 (Recruit) DC","","CCR"
"","Recruit","815: Table Appendix IV","CCL15 (Recruit) Eosinophil","false","Recruit","CCL15 (Recruit) Eosinophil","","CCR"
"","Recruit","815: Table Appendix IV","CCL15 (Recruit) Monocyte","false","Recruit","CCL15 (Recruit) Monocyte","","CCR"
"","Recruit","815: Table Appendix IV","CCL16 (Recruit) DC","false","Recruit","CCL16 (Recruit) DC","","CCR"
"","Recruit","815: Table Appendix IV","CCL16 (Recruit) Monocyte","false","Recruit","CCL16 (Recruit) Monocyte","","CCR"
"","Recruit","815: Table Appendix IV","CCL16 (Recruit) NK","false","Recruit","CCL16 (Recruit) NK","","CCR"
"","Secrete","126: NK cells also produce TNF-a, granulocyte-macrophage stimulating factor (GM-CSF), and the chemokines CCL3 (MIF 1-a), CCL4, and CCL5 (RANTES), which act to recruit and activate macrophages.","NK (Secrete) CCL3","false","Secrete","NK (Secrete) CCL3","",""
"","Secrete","126: NK cells also produce TNF-a, granulocyte-macrophage stimulating factor (GM-CSF), and the chemokines CCL3 (MIF 1-a), CCL4, and CCL5 (RANTES), which act to recruit and activate macrophages.","NK (Secrete) CCL4","false","Secrete","NK (Secrete) CCL4","",""
"","Secrete","126: NK cells also produce TNF-a, granulocyte-macrophage stimulating factor (GM-CSF), and the chemokines CCL3 (MIF 1-a), CCL4, and CCL5 (RANTES), which act to recruit and activate macrophages.","NK (Secrete) CCL5","false","Secrete","NK (Secrete) CCL5","",""
"","Secrete","126: NK cells also produce TNF-a, granulocyte-macrophage stimulating factor (GM-CSF), and the chemokines CCL3 (MIF 1-a), CCL4, and CCL5 (RANTES), which act to recruit and activate macrophages.","NK (Secrete) GMCSF","false","Secrete","NK (Secrete) GMCSF","",""
"Antiviral, Anti-IC bacteria, Cytotoxicity, ADCC","Secrete","124: Table Figure 3.37; 125: NK cells kill cells by releasing their cytotoxic granules, which are similar to those of cytotoxic T cells and have the same effects (discussed in Chapter 9). In brief, the contents of cytotoxic granules, which contain granzymes and the pore-forming protein perforin, are released onto the surface of the target cell, and penetrate the cell membrane and induce programmed cell death.; 435: As well as this innate function, NK cells can recognize and destroy antibodycoated target cells in a process called antibody-dependent cell-mediated cytotoxicity (ADCC). This is triggered when antibody bound to the surface of a cell interacts with Fc receptors on the NK cell (Fig. 10.42). NK cells express the receptor Fc<U+03B3>RIII (CD16), which recognizes the IgG1 and IgG3 subclasses. The killing mechanism is analogous to that of cytotoxic T cells, involving the release of cytoplasmic granules containing perforin and granzymes (see Section 9-31). ADCC has been shown to have a role in the defense against infection by viruses, and represents another mechanism by which antibodies can direct an antigen-specific attack by an effector cell that itself lacks specificity for antigen.","NK (Secrete) Granzymes","false","Secrete","NK (Secrete) Granzymes","",""
"Antiviral, Anti-IC bacteria, Antibacterial, Type 1, Type 1, Class switching, Antigen presentation","Secrete","124: Table Figure 3.37; 126: IL-12, acting in synergy with the cytokine IL-18 produced by activated macrophages, can also stimulate NK cells to secrete large amounts of interferon (IFN)-<U+03B3>, and this is crucial in controlling some infections before the IFN-<U+03B3> produced by activated CD8 cytotoxic T cells becomes available.; 126: The production of IFN-<U+03B3> by NK cells early in an immune response can directly activate macrophages to enhance their capacity to kill pathogens, augmenting innate immunity, but also influences adaptive immunity through actions on dendritic cells and in regulating the differentiation of CD4 T cells into the pro-inflammatory TH1 subset, which produces IFN-<U+03B3>. NK cells also produce TNF-a, granulocyte-macrophage stimulating factor (GM-CSF), and the chemokines CCL3 (MIF 1-a), CCL4, and CCL5 (RANTES), which act to recruit and activate macrophages.; 126: Stimulation of activating receptors will add to the chance that the NK cells will release cytokines such as IFN-<U+03B3> and activate the killing of the stimulating cell through the release of cytotoxic granules.; 233: Gene expression of the classical MHC class II proteins, along with the invariant-chain, DMa, DMß, and DOa, but not DOß, is coordinately increased by IFN-<U+03B3>, which is produced by activated TH1 cells, CD8 T cells, and NK cells.; 375: Activated group 1 ILCs, such as NK cells, may also be an important source of IFN-<U+03B3>.; 448: Figure 11.3; 451: As discussed in Chapter 3, ILC1s and related NK cells are characterized by their production of IFN-<U+03B3> in response to IL-12 and IL-18 produced by pathogen-activated dendritic cells and macrophages.; 451: Also, similar to the effect on TH1 cells of IFN-<U+03B3> production by ILC1s, the production of IFN-<U+03B3> by activated NK cells may contribute to the enhanced differentiation of cytolytic CD8 T cells.; 471: The source of this IFN-<U+03B3> seems to be both NK cells and naive CD8 T cells, which begin to secrete it within the first few hours after infection.; 486: Several specialized subsets of immune cells, which can be viewed as intermediates between innate and adaptive immunity, act next and include the innate lymphoid cells, or ILCs, which are rapid responders to cytokines produced by innate sensor cells and can help to bias the CD4 T-cell response toward parallel subsets of effector T cells; and NK cells, which can be recruited to lymph nodes and secrete IFN-<U+03B3>, and thus promote a TH1 response.; 544: Because CD40 signaling is also required for the activation of dendritic cells and macrophages for optimal production of IL-12, which is important for the production of IFN-<U+03B3> by TH1 cells and NK cells, patients with CD40 ligand deficiency also have defects in type 1 immunity and thus manifest a form of combined immunodeficiency.; 546: These microbes are specialized for survival within macrophages, and their eradication requires enhanced microbicidal activities induced by IFN-<U+03B3> produced by type 1 cells: NK cells, ILC1 cells, and TH1 cells (see Section 11-2).; 811: Table Appendix III; 812: Induces IFN-<U+03B3> production by T cells and NK cells,","NK (Secrete) IFNg","false","Secrete","NK (Secrete) IFNg","",""
"Inflammation, Antimicrobial","Secrete","812: Table Appendix III","NK (Secrete) IL17A","false","Secrete","NK (Secrete) IL17A","",""
"Inflammation","Secrete","812: Table Appendix III","NK (Secrete) IL17F","false","Secrete","NK (Secrete) IL17F","",""
"Antimicrobial, Acute phase response, Inflammation, Barrier integrity","Secrete","812: Table Appendix III","NK (Secrete) IL22","false","Secrete","NK (Secrete) IL22","",""
"Inflammation","Secrete","812: Table Appendix III","NK (Secrete) IL26","false","Secrete","NK (Secrete) IL26","",""
"","Secrete","812: Table Appendix III","NK (Secrete) IL32","false","Secrete","NK (Secrete) IL32","",""
"Antiviral, Anti-IC bacteria, Cytotoxicity, ADCC","Secrete","124: Table Figure 3.37; 125: NK cells kill cells by releasing their cytotoxic granules, which are similar to those of cytotoxic T cells and have the same effects (discussed in Chapter 9). In brief, the contents of cytotoxic granules, which contain granzymes and the pore-forming protein perforin, are released onto the surface of the target cell, and penetrate the cell membrane and induce programmed cell death.; 435: As well as this innate function, NK cells can recognize and destroy antibodycoated target cells in a process called antibody-dependent cell-mediated cytotoxicity (ADCC). This is triggered when antibody bound to the surface of a cell interacts with Fc receptors on the NK cell (Fig. 10.42). NK cells express the receptor Fc<U+03B3>RIII (CD16), which recognizes the IgG1 and IgG3 subclasses. The killing mechanism is analogous to that of cytotoxic T cells, involving the release of cytoplasmic granules containing perforin and granzymes (see Section 9-31). ADCC has been shown to have a role in the defense against infection by viruses, and represents another mechanism by which antibodies can direct an antigen-specific attack by an effector cell that itself lacks specificity for antigen.","NK (Secrete) Perforin","false","Secrete","NK (Secrete) Perforin","",""
"Inflammation","Secrete","126: NK cells also produce TNF-a, granulocyte-macrophage stimulating factor (GM-CSF), and the chemokines CCL3 (MIF 1-a), CCL4, and CCL5 (RANTES), which act to recruit and activate macrophages.; 813: Table Appendix III","NK (Secrete) TNFa","false","Secrete","NK (Secrete) TNFa","",""
"","Recruit","815: Table Appendix IV","CCL17 (Recruit) DC","false","Recruit","CCL17 (Recruit) DC","","CCR"
"","Recruit","815: Table Appendix IV","CCL17 (Recruit) T_reg","false","Recruit","CCL17 (Recruit) T_reg","","CCR"
"","Recruit","815: Table Appendix IV","CCL17 (Recruit) Th2","false","Recruit","CCL17 (Recruit) Th2","","CCR"
"Immunosuppression","Inhibit","379: The expression of high levels of CTLA-4 on the surface of natural Treg cells is thought to permit them to compete for B7 expressed by antigen-presenting cells, thereby preventing adequate co-stimulation of naive T cells. Indeed, it has been proposed that CTLA4 expressed on Treg cells can physically remove B7 molecules from the surface of antigen-presenting cells, thereby depleting them of co-stimulatory activity.","T_reg (Inhibit) DC","false","Inhibit","T_reg (Inhibit) DC","CTLA4","B7"
